system:index,CO_density,City,date,.geo
0000000000000000008d_0,0.04503950041782065,Delhi,01-12-2018,
0000000000000000008d_1,0.043792754911833445,Delhi,01-01-2019,
0000000000000000008d_2,0.04211354985930953,Delhi,01-02-2019,
0000000000000000008d_3,0.04033797979622993,Delhi,01-03-2019,
0000000000000000008d_4,0.04493299136781309,Delhi,01-04-2019,
0000000000000000008d_5,0.045131252843665426,Delhi,01-05-2019,
0000000000000000008d_6,0.04292702132512961,Delhi,01-06-2019,
0000000000000000008d_7,0.03762954633649663,Delhi,01-07-2019,
0000000000000000008d_8,0.03814410064092437,Delhi,01-08-2019,
0000000000000000008d_9,0.03736795265236265,Delhi,01-09-2019,
0000000000000000008d_10,0.04393877651213938,Delhi,01-10-2019,
0000000000000000008d_11,0.04430204035173055,Delhi,01-11-2019,
0000000000000000008d_12,0.04487683798319244,Delhi,01-12-2019,
0000000000000000008d_13,0.04282781950058867,Delhi,01-01-2020,
0000000000000000008d_14,0.044986865471657735,Delhi,01-02-2020,
0000000000000000008d_15,0.04030463176935686,Delhi,01-03-2020,
0000000000000000008d_16,0.039299247872966,Delhi,01-04-2020,
0000000000000000008d_17,0.04244528040436935,Delhi,01-05-2020,
0000000000000000008d_18,0.03993100550835858,Delhi,01-06-2020,
0000000000000000008d_19,0.038169843543120426,Delhi,01-07-2020,
0000000000000000008d_20,0.03521255063550021,Delhi,01-08-2020,
0000000000000000008d_21,0.03964624902850789,Delhi,01-09-2020,
0000000000000000008d_22,0.044929913927131596,Delhi,01-10-2020,
00000000000000000115_0,0.04486950120758947,Delhi,01-12-2018,
00000000000000000115_1,0.04257989961298793,Delhi,01-01-2019,
00000000000000000115_2,0.04180839113273744,Delhi,01-02-2019,
00000000000000000115_3,0.03979952468856484,Delhi,01-03-2019,
00000000000000000115_4,0.04356818028916008,Delhi,01-04-2019,
00000000000000000115_5,0.04505025102694257,Delhi,01-05-2019,
00000000000000000115_6,0.042222481566681354,Delhi,01-06-2019,
00000000000000000115_7,0.03719774890749312,Delhi,01-07-2019,
00000000000000000115_8,0.037647533352156724,Delhi,01-08-2019,
00000000000000000115_9,0.03753203956580979,Delhi,01-09-2019,
00000000000000000115_10,0.04440812392135921,Delhi,01-10-2019,
00000000000000000115_11,0.04242910776283362,Delhi,01-11-2019,
00000000000000000115_12,0.045504166457376115,Delhi,01-12-2019,
00000000000000000115_13,0.04173277667726455,Delhi,01-01-2020,
00000000000000000115_14,0.04460598603350629,Delhi,01-02-2020,
00000000000000000115_15,0.04042382689946266,Delhi,01-03-2020,
00000000000000000115_16,0.03959775854680189,Delhi,01-04-2020,
00000000000000000115_17,0.042207451978750754,Delhi,01-05-2020,
